"Name","Source","ReleaseDate","Playtime","IsInstalled"
"Second Extinction","Epic","13/10/2020","0","False"
"Scribble It!","Steam","20/10/2020","60","False"
"Project Wingman","Xbox","29/07/2021","420","False"
"Grand Theft Auto: San Andreas – The Definitive Edition","Xbox","22/10/2021","0","False"
"SnowRunner","Xbox","28/04/2020","31860","False"
"Gladio and Glory","Steam","16/03/2021","11460","False"
"TrenchesWIP","Steam",,"60","False"
"Crowd City!","Xbox","14/05/2019","0","False"
"Outlast 2","Xbox","25/04/2017","1500","False"
"NINJA GAIDEN Σ2","Xbox","10/06/2021","480","False"
"Battlefield 1","Xbox","21/10/2016","100260","False"
"ANVIL : Vault Breaker (Game Preview)","Xbox","23/11/2021","240","False"
"LEGO Indiana Jones","Xbox","1/11/2020","0","False"
"Moving Out","Xbox","28/04/2020","1200","False"
"Trackmania Turbo","Xbox","22/03/2016","0","False"
"The Crew","Xbox","2/12/2014","21960","False"
"Ring of Pain","Epic","14/10/2020","0","False"
"Warface","Steam","21/10/2013","23580","False"
"Project CARS - Pagani Edition","Steam","28/10/2016","0","False"
"Cricket 19","Xbox","28/05/2019","1320","False"
"Subnautica","Xbox","4/12/2018","2220","False"
"Dead by Daylight","Xbox","20/06/2017","56220","False"
"Galactic Civilizations III","Epic","27/03/2014","432","False"
"Battlefield 1","Origin","21/10/2016","17122","False"
"Sinking Simulator","Steam","10/05/2013","6120","False"
"Pinball FX3","Xbox","26/09/2017","1860","False"
"Blocks","Steam","10/02/2017","240","False"
"Riverbond","Epic","9/06/2019","0","False"
"Narnia: Prince Caspian","Xbox","15/05/2008","0","False"
"Bloons Monkey City","Xbox","20/01/2016","0","False"
"Black Desert","Xbox","4/03/2019","0","False"
"Starlit Kart Racing","Xbox","1/09/2022","780","False"
"Fallout 4","Xbox","10/11/2015","3360","False"
"Overwatch","Battle.net","24/05/2016","0","False"
"Doodle God Blitz HD","Xbox","11/08/2014","0","False"
"Minecraft","Xbox","9/02/2021","592800","False"
"ScreamRide Demo","Xbox","17/02/2015","0","False"
"Tell Me Why","Steam","27/08/2020","0","False"
"Lemnis Gate","Xbox","28/09/2021","0","False"
"Rumbleverse","Epic","11/08/2022","0","False"
"Salt and Sanctuary","Epic","15/03/2016","0","False"
"Full Spectrum Warrior","Xbox","23/04/2018","0","False"
"Turbo Golf Racing (Game Preview)","Xbox","4/08/2022","240","False"
"LEGO Batman","Xbox","15/06/2010","0","False"
"Stumble Guys","Steam","7/10/2021","0","False"
"Call of Duty: Modern Warfare II - Open Beta","Steam",,"0","False"
"Just Die Already","Epic","20/05/2021","0","False"
